Name,Status,HierarchyPath
Lateral_456collateral789_ligament_456calcaneofibular_part789_R,Inactive,Ligament_system/Lower_Limb_R/Common/Lateral_456collateral789_ligament_456calcaneofibular_part789_R
Infraorbital_L_V,Inactive,Vein_system/Head_and_Neck/Infraorbital_L_V
Atlanto246occipital_capsule_L,Inactive,Ligament_system/Head_and_Neck/Common/Atlanto246occipital_capsule_L
Interthalamic_adhesion_R,Inactive,Nervous_system/Head_and_Neck/Common/brain/Interthalamic_adhesion_R
Hiatus_semilunaris,Inactive,Respiratory_system/HABCDEFGead_and_Neck/Hiatus_semilunaris
Branches_of_parasternal_lymph_vessels_male_R,Inactive,Lymphatic_system/Thorax/MaHIJKle/Branches_of_parasternal_lymph_vessels_male_R
Radial_L_A,Inactive,Artery_system/Arm_L/Radial_L_A
T03_Dorsal_root_ganglion_R,Inactive,Nervous_system/Back/Common/T03_Dorsal_root_ganglion_R
Head_and_Neck,Inactive,Nervous_system/Head_and_Neck
Ulnar_recurrent_R,Inactive,Artery_system/Arm_R/Ulnar_recurrent_R
Tibial_R,Inactive,Nervous_system/Lower_Limb_R/Common/Tibial_R
Puborectalis_456part_of_levator_ani789_male_R,Inactive,Muscle_system/Pelvis_and_Hip/Male/Puborectalis_456part_of_levator_ani789_male_R
Gray_rami_communicantes_cervical_region_male_RABCDEFG,Inactive,Nervous_system/Thorax/MalABCDEFGe/Gray_rami_communicantes_cervical_region_male_RABCDEFG
Lateral_456collateral789_ligament_456posterior_talofibular_part789_R,Inactive,Ligament_system/Lower_Limb_R/Common/Lateral_456collateral789_ligament_456posterior_talofibular_part789_R
Articular_capsule_456elbow789_R,Inactive,Ligament_system/Arm_R/Articular_capsule_456elbow789_R
Anococcygeal_ligament_male,Inactive,Muscle_system/Pelvis_and_Hip/Male/Anococcygeal_ligament_male
Hepatic_vein_R,Inactive,Vein_system/Abdomen/Common/Hepatic_vein_R
CN_07_456VII789_Cervical_R,Inactive,Nervous_system/Head_and_Neck/Common/CN_07_456VII789_Cervical_R
L05_Dorsal_ramus_medial_branch_L,Active,Nervous_system/Pelvis_and_Hip/Common/L05_Dorsal_ramus_medial_branch_L
T02_Vertebra,Inactive,Skeleton_system/Thorax/Repetition_with_Back/T02_Vertebra
T06_Spinal_nerve_456ventral_ramus789_L,Inactive,Nervous_system/Thorax/Repetition_with_Abdomen/Common/T06_Spinal_nerve_456ventral_ramus789_L
CN_05_456V789_Ophthalmic_branch_L,Inactive,Nervous_system/Head_and_Neck/Common/CN_05_456V789_Ophthalmic_branch_L
Pubocervical_fascia_female_L,Inactive,Ligament_system/Pelvis_and_Hip/Female/Pubocervical_fascia_female_L
Parathyroid_gland_inferior_R,Inactive,Endocrine_system/Head_and_Neck/Parathyroid_gland_inferior_R
Submental_L_A,Inactive,Artery_system/Head_and_Neck/Submental_L_A
Lateral_456upper_lateral_nasal789_cartilage_L,Inactive,Skeleton_system/Head_and_Neck/Lateral_456upper_lateral_nasal789_cartilage_L
